,Points,Title,Description,TasterName,Taster_Twitter_Handle,Price,Designation,Variety,Region_1,Region_2,Province,Country,Winery,Vintage,County
644,92,Niner 2013 Estate Grown Cabernet Sauvignon (Paso Robles),"Boosted by 5% Petit Verdot, this bottling shows lush aromas of fudge, black plum, black currant, soy and black pepper. The palate is dense and thick with more black fruit as well as caramel, purple flowers, milk chocolate and mint-chip ice cream, proving concentrated and decadent.",Matt Kettmann,@mattkettmann,40.0,Estate Grown,Cabernet Sauvignon,Paso Robles,Central Coast,California,US,Niner,,
645,92,Purple Hands 2014 Freedom Hill Vineyard Pinot Noir (Willamette Valley),"Pommard and Wädenswil clones are combined here, yielding a stylish, well-defined wine with spicy berry fruit. Flavors punch through into a deep and detailed finish, with streaks of cola and caramel. The balance is spot-on.",Paul Gregutt,@paulgwine ,50.0,Freedom Hill Vineyard,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Purple Hands,,
646,92,Quinta da Lagoalva de Cima 2013 Lagoalva Barrel Selection Tinto Red (Tejo),"As its name suggests this is a selection of barrels of Syrah and Touriga Nacional. It is rich, smooth and full of ripe fruit. The dusty tannins are in suspension, backing up the black plum and blueberry fruit flavors. Along with the juicy acidity, this is a wine to age. Drink from 2017.",Roger Voss,@vossroger,23.0,Lagoalva Barrel Selection Tinto,Portuguese Red,,,Tejo,Portugal,Quinta da Lagoalva de Cima,,
647,92,Quinta do Monte Xisto 2013 Red (Douro),"This is an impressive, powerful wine. It speaks of the hard landscape of the Douro Superior, with its structure and dark tannins. At the same time, ripe dark fruits push through the still-young tannins giving the potential for a rich, black fruit dominated wine. Predominantly Touriga Nacional (60 percent), this wine is a new venture created by João Nicolau d'Almeida (who has run Ramos-Pinto for many years) and his family. Drink from 2018.",Roger Voss,@vossroger,80.0,,Portuguese Red,,,Douro,Portugal,Quinta do Monte Xisto,,
648,92,Reichsgraf von Kesselstatt 2014 Brauneberger Juffer-Sonnenuhr Spätlese Grosse Lage Riesling (Mosel),"A spray of rose petals perfumes this aromatic spätlese. Its freshness is exhilarating, contrasting lavish layers of honey and marmalade against the sharp bites of pineapple, tangerine and lemon. Cutting and spry, yet deeply penetrating, it finishes on a lingering pollen note.",Anna Lee C. Iijima,,34.0,Brauneberger Juffer-Sonnenuhr Spätlese Grosse Lage,Riesling,,,Mosel,Germany,Reichsgraf von Kesselstatt,,
649,92,Stone The Crows 2013 Three Twins Vineyard Fallen Feather Cabernet Sauvignon (Napa Valley),"With a smidgen of Petit Verdot, this dark, tight and leathery wine is exalted in tobacco, graphite and tar, still youthfully awkward and shy. The flavors lean savory into meaty aspects of currant and clove, waiting to find companionship in fruit. Drink now after a decant, or cellar through 2023.",Virginie Boone,@vboone,75.0,Three Twins Vineyard Fallen Feather,Cabernet Sauvignon,Napa Valley,Napa,California,US,Stone The Crows,,
650,92,Sturm 2014 Sauvignon (Collio),"You'll find aromas of tomato leaf, passion fruit, crushed rock and green bell pepper on this radiant white. The bright, savory palate delivers tropical fruit, tangerine zest, dill, celery and mineral alongside tangy acidity. It's an extremely impressive showing for this challenging vintage.",Kerin O’Keefe,@kerinokeefe,24.0,,Sauvignon,Collio,,Northeastern Italy,Italy,Sturm,,
651,92,Kuentz-Bas 2014 Pfersigberg Grand Cru Riesling (Alsace),"Subtle notes of clean, fresh lemon zest promise pleasure, the palate reveals a far riper aspect of fresh red apple and baked apples. The dry palate remains zingy and clean and provides ample textured freshness. The effect is that of fresh apple sorbet.",Anne Krebiehl MW,@AnneInVino,39.0,Pfersigberg Grand Cru,Riesling,Alsace,,Alsace,France,Kuentz-Bas,,
652,92,Plantagenet 2014 Riesling (Great Southern),"Based on this example and a few other informal tastings, 2014 will be a top vintage for Rieslings from Western Australia. Aromas of lime sherbet and wet stone lead into a crisply focused palate loaded with citrusy tartness that lingers on the mouthwatering finish. Drink now with shellfish, and consider holding some for up to 10 years.",Joe Czerwinski,@JoeCz,21.0,,Riesling,Great Southern,,Western Australia,Australia,Plantagenet,,
653,92,Scratch 2013 Grenache (Arroyo Seco),"Reserved red-cherry fruit aromas gain complexity with fog-soaked sagebrush, dried purple flowers and an earthy mushroom character on the nose. Roasted shiitake, marjoram, crushed Brazil nuts and a hint of cardamom play on the dark, spicy, earthy palate, laid across a bed of cranberry fruit.",Matt Kettmann,@mattkettmann,35.0,,Grenache,Arroyo Seco,Central Coast,California,US,Scratch,,
654,92,Sipp Mack 2014 Rosacker Grand Cru Riesling (Alsace),"Freshly cut red, yellow and green apples make both nose and palate very fruity. The dry palate with its lemony freshness and open aspect lets all the apple flavors shine and inflects them here and there with baked and dried apple, too. Wonderfully fruity and pure.",Anne Krebiehl MW,@AnneInVino,43.0,Rosacker Grand Cru,Riesling,Alsace,,Alsace,France,Sipp Mack,,
655,92,St. Amant 2013 Lodi Native Marian's Vineyard Zinfandel (Mokelumne River),"This is one of the best balanced and most elegant Zins around. Very fresh in aroma, it's slightly yeasty like freshly fermented wine, and with subtly gorgeous cherry and blackberry flavors layered with light cedar and cocoa spiciness. Not only is the finish lingering, but the wine still tasted great two days after pulling the cork.",Jim Gordon,@gordone_cellars,30.0,Lodi Native Marian's Vineyard,Zinfandel,Mokelumne River,Central Valley,California,US,St. Amant,,
656,92,Stoller 2013 Nancy's Pinot Noir (Dundee Hills),"This cuvée is made with the oldest Pommard clones in the estate vineyard. It's a sharp-edged, reserve-level wine with a defining streak of peppery herb. The black fruits and barrel flavors of licorice, espresso and dark chocolate promise further depth as it ages. Drink 2020–2030.",Paul Gregutt,@paulgwine ,70.0,Nancy's,Pinot Noir,Dundee Hills,Willamette Valley,Oregon,US,Stoller,,
657,92,Fable Mountain 2011 Night Sky Red (Coastal Region),"The 2011 Night Sky shows more earthy character than the 2012, as upfront aromas of soil, blackberry leaf and pepper are grounded by ripe fruit tones of black currant, plum and mulberry. Medium weight on the palate, with velvety tannins that grip through the long, spicy finish. The dense, tight mouthfeel, firm structure and overall balance suggest this wine will age well through 2022.",Lauren Buzzeo,@laurbuzz,50.0,Night Sky,Rhône-style Red Blend,,,Coastal Region,South Africa,Fable Mountain,,
770,92,G. H. Mumm NV Mumm de Cramant Blanc de Blancs Chardonnay (Champagne),"Now with its intensity and some bottle age, this wine—formerly known as Crémant de Cramant—is rich, with its apple flavor blending with an almond note and a soft, warm texture. The acidity shoots right through this ripe wine.",Roger Voss,@vossroger,62.0,Mumm de Cramant Blanc de Blancs,Chardonnay,Champagne,,Champagne,France,G. H. Mumm,,
771,92,Iron Horse 2007 Ocean Reserve Sparkling (Green Valley),"A beautiful sparkling wine that shows the Iron Horse signature of balanced elegance. The lime, raspberry, vanilla and brioche flavors are rich and intricate, but particularly lovely is the texture, which is soft and silky.",,,40.0,Ocean Reserve,Sparkling Blend,Green Valley,Sonoma,California,US,Iron Horse,,
772,92,Jean Milan NV Grande Réserve Blanc de Blancs Grand Cru Brut Chardonnay (Champagne),"Fight your way through the string and wax sealing that holds down the cork, and you'll discover a wine that is rich, full and opulent. The ripe peach character is balanced with the delicious toasty edge and final bright acidity. Ready to drink.",Roger Voss,@vossroger,66.0,Grande Réserve Blanc de Blancs Grand Cru Brut,Chardonnay,Champagne,,Champagne,France,Jean Milan,,
773,92,Monte da Penha 2005 Grande Reserva Red (Alentejo),"Powerful and concentrated, this is just at its peak. Ripe, rich fruit and tarry tannins give it freshness and a dry core. It's solid and serious, a dense wine that calls for equally rich food. Drink it now while it's at its prime.",Roger Voss,@vossroger,32.0,Grande Reserva,Portuguese Red,,,Alentejo,Portugal,Monte da Penha,,
774,92,Patton Valley 2010 Lorna Marie Pinot Noir (Willamette Valley),"The Lorna Marie is the winery's reserve, and it has exceptional concentration and depth. Berry and cherry dominate, spiced up with a pumpkin pie accent. Round, rich and full, yet moderate in alcohol, this is a fine expression of Oregon Pinot Noir in a challenging vintage.",Paul Gregutt,@paulgwine ,70.0,Lorna Marie,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Patton Valley,,
775,92,Patton Valley 2010 West Block Pinot Noir (Willamette Valley),"All the 2010 Patton Valley Pinots are significantly lower in alcohol than the previous vintage, and it works to their advantage. Nuanced fruit flavors include rhubarb and tart cherry, with veins of cola and dark chocolate adding further complexity. Its length is excellent.",Paul Gregutt,@paulgwine ,48.0,West Block,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Patton Valley,,
776,92,Pierre Gimonnet et Fils 2005 Oenophile Premier Cru Blanc de Blancs Extra Brut Chardonnay (Champagne),"The extra age on this bone-dry wine has paid off, as the taut character of a young wine has been tempered with toast, creating a round feeling. It is perfectly in harmony now, beautiful and crisp.",Roger Voss,@vossroger,72.0,Oenophile Premier Cru Blanc de Blancs Extra Brut,Chardonnay,Champagne,,Champagne,France,Pierre Gimonnet et Fils,,
777,92,Scubla 2008 Cràtis Verduzzo (Colli Orientali del Friuli),"Verduzzo is a very interesting grape that tends to exude oxidized aromas of candied fruit, butterscotch and carmel. But when made well, as in the case of this selection, it offers power, concentration and natural richness as well.",,,18.0,Cràtis,Verduzzo,Colli Orientali del Friuli,,Northeastern Italy,Italy,Scubla,,
778,92,Adelsheim 2010 Winderlea Vineyard Pinot Noir (Dundee Hills),"The Winderlea is perhaps the most unique in terms of style and flavor among all the 2010 Adelsheim single-vineyard Pinots. Its distinctive minerality accompanies tart cranberry and cherry notes, citrusy acidity with a splash of grapefruit flavor, and a finish that tastes of coffee and tea. Complex and long, this is a wine that will surely spark some heated discussion.",Paul Gregutt,@paulgwine ,105.0,Winderlea Vineyard,Pinot Noir,Dundee Hills,Willamette Valley,Oregon,US,Adelsheim,,
779,92,Bruno Paillard 2002 Assemblage Brut  (Champagne),"This is a powerful, almost concentrated, very dry selection. Its richness comes from the weight of its fruit flavors and the tight tang of its intense acidity. From a fine vintage, it could still age for several more years. Disgorged July 2011.",Roger Voss,@vossroger,101.0,Assemblage Brut,Champagne Blend,Champagne,,Champagne,France,Bruno Paillard,,
780,92,Castello d'Albola 2003  Vin Santo del Chianti Classico,"Thanks to eight years in Vin Santo's traditional caratelli barrels, this sweet blend of Trebbiano and Malvasia offers a dark, golden-amber color, bearing intense aromas of dried apricot, candied fruit, honey and toasted almond.",,,50.0,,White Blend,Vin Santo del Chianti Classico,,Tuscany,Italy,Castello d'Albola,,
781,92,Ferrari 2001 Giulio Ferrari Riserva del Fondatore Chardonnay (Trento),"A landmark wine for those who love Italian sparklers, this shows loads of ripe apricot, melon and honey notes, with toasted nut and baked bread hints in the background. There are also touches of caramel and butterscotch that help move the wine's thick and opulent texture across the palate. It ends with refreshing acidity and tonic perlage.",,,85.0,Giulio Ferrari Riserva del Fondatore,Chardonnay,Trento,,Northeastern Italy,Italy,Ferrari,,
782,92,Laetitia 2008 Cuvée M Sparkling (Arroyo Grande Valley),"There's a honeyed accent to this sparkler, with tangerine, lime, buttered toast and yeasty flavors that are savory and complex. The mouthfeel is wonderfully soft and creamy. A great success for Laetitia, at a good price.",,,35.0,Cuvée M,Sparkling Blend,Arroyo Grande Valley,Central Coast,California,US,Laetitia,,
783,92,Bella 2009 Big River Ranch Zinfandel (Alexander Valley),"This is dry, rich, heady, spicy and utterly delicious. As usual, it contains a splash of Petite Sirah. Already throwing some sediment, it's pretty tannic, with complex flavors of wild blackberry and blueberry, black currant, licorice, cola, bacon and plum sauce, with a hint of exotic pepper and spice. This great Zinfandel is a joy to drink.",,,38.0,Big River Ranch,Zinfandel,Alexander Valley,Sonoma,California,US,Bella,,
1232,92,Artesa 2014 Tempranillo (Alexander Valley),"From the Carneros-based producer with its roots in Spain, this succeeds in its velvety smooth texture, juicy fruit and supportive acidity. Black licorice and spiced plum are given additional richness by a jolt of dark chocolate.",Virginie Boone,@vboone,50.0,,Tempranillo,Alexander Valley,Sonoma,California,US,Artesa,,
1233,92,Balletto 2015 Sexton Hill Vineyard Estate Grown Estate Bottled Pinot Noir (Russian River Valley),"With a fruity exuberance of crisp cranberry and red cherry, this wine delights in touches of nuanced herb and earth. Light bodied and refreshing, it maintains elegant complexity and depth, a lovely example of site and winemaking.",Virginie Boone,@vboone,42.0,Sexton Hill Vineyard Estate Grown Estate Bottled,Pinot Noir,Russian River Valley,Sonoma,California,US,Balletto,,
